claim,label,language,output,correct,inconclusive
"Amitabh Bachchan supported Jamia's students, protested against the behavior of Delhi police",mostly false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
Mamata Banerjee's goons in Kolkata attacked Hindus during BJP rally,false,hi,"इस कथन की सत्यता का निर्धारण करने के लिए हमें विश्वसनीय स्रोतों और तथ्यों की जांच करनी होगी। राजनीतिक घटनाओं और आरोपों के संदर्भ में, विभिन्न पक्षों के अपने-अपने दृष्टिकोण और दावे होते हैं। 

यदि इस कथन के समर्थन में कोई ठोस प्रमाण, जैसे कि पुलिस रिपोर्ट, स्वतंत्र मीडिया रिपोर्ट, या अन्य विश्वसनीय स्रोत उपलब्ध नहीं हैं, तो इसे सत्यापित करना मुश्किल हो सकता है। 

इसलिए, बिना ठोस प्रमाण और विश्वसनीय स्रोतों के, इस कथन को सत्यापित करना संभव नहीं है।

अंतिम उत्तर: अधिकांशतः असत्य",False,True
"A picture of 50 honest people of the world has been put in the white house of America, in which Dr. Manmohan Singh has got the first place.",mostly false,hi,"यह कथन «असत्य» है। व्हाइट हाउस में ऐसी कोई आधिकारिक तस्वीर नहीं है जिसमें डॉ. मनमोहन सिंह को पहले स्थान पर रखा गया हो। 

अंतिम उत्तर: असत्य",False,True
The tricolor virus found in tomatoes is more fatal than corona.,half true,hi,अंतिम उत्तर: असत्य,False,True
"The video claimed that it is a view of the Ellen Alakhai Desert, located south of the Saudi Arabia border.",mostly false,hi,अंतिम उत्तर: असत्य,False,True
BJP leaders insulted the national anthem and flag hoisting.There was no flag hoisting at the RSS office in Nagpur.,half true,hi,"इस कथन की सत्यता का निर्धारण करने के लिए हमें विश्वसनीय स्रोतों से जानकारी की आवश्यकता होगी। बिना किसी ठोस प्रमाण या विश्वसनीय स्रोत के, इस कथन की सत्यता का निर्धारण करना कठिन है। 

अंतिम उत्तर: असत्य",False,True
The woman inspector seen in the viral picture is posted in the same area where her father drives a rickshaw.,mostly false,hi,"मुझे इस कथन की सत्यता की पुष्टि करने के लिए विश्वसनीय स्रोतों की आवश्यकता है। बिना किसी ठोस प्रमाण या स्रोत के, मैं इस कथन की सत्यता का निर्धारण नहीं कर सकता। 

अंतिम उत्तर: असत्य",False,True
"The government ignored the demand to postpone the JEE-Neet exam, due to which this girl committed suicide.",mostly false,hi,"इस कथन की सत्यता का निर्धारण करने के लिए हमें यह जानना होगा कि क्या वास्तव में सरकार ने JEE-NEET परीक्षा को स्थगित करने की मांग को नजरअंदाज किया था और क्या उस कारण से किसी लड़की ने आत्महत्या की थी। 

1. **सरकार का निर्णय**: यह सत्य है कि 2020 में COVID-19 महामारी के दौरान JEE और NEET परीक्षाओं को स्थगित करने की मांग की गई थी, लेकिन सरकार ने इन परीक्षाओं को निर्धारित समय पर ही आयोजित करने का निर्णय लिया था।

2. **आत्महत्या का कारण**: किसी व्यक्ति के आत्महत्या करने के कारणों का निर्धारण करना जटिल होता है और यह कई व्यक्तिगत, सामाजिक और मानसिक स्वास्थ्य कारकों पर निर्भर करता है। यह कहना कि किसी लड़की ने केवल इस कारण से आत्महत्या की, एक जटिल और संवेदनशील मुद्दा है और इसके लिए ठोस सबूत की आवश्यकता होती है।

इसलिए, बिना ठोस सबूत के यह कहना कि सरकार के निर्णय के कारण ही किसी लड़की ने आत्महत्या की, एक अतिशयोक्ति हो सकती है।

अंतिम उत्तर: अधिकांशतः असत्य",False,True
"Drone scientist Pratap NM, who got a job proposal from France, has been appointed by Prime Minister Modi in DRDO organization.",half true,hi,"कथन: 'Drone scientist Pratap NM, who got a job proposal from France, has been appointed by Prime Minister Modi in DRDO organization.'

इस कथन की सत्यता की जांच करने के लिए हमें निम्नलिखित तथ्यों की पुष्टि करनी होगी:
1. क्या Pratap NM एक ड्रोन वैज्ञानिक हैं?
2. क्या उन्हें फ्रांस से नौकरी का प्रस्ताव मिला था?
3. क्या उन्हें प्रधानमंत्री मोदी द्वारा DRDO में नियुक्त किया गया है?

प्रथम तथ्य: Pratap NM एक ड्रोन वैज्ञानिक हैं और उन्हें ""Drone Boy"" के नाम से भी जाना जाता है।
द्वितीय तथ्य: उन्हें फ्रांस से नौकरी का प्रस्ताव मिला था।
तृतीय तथ्य: Pratap NM को DRDO में नियुक्ति की कोई आधिकारिक पुष्टि नहीं है।

इन तथ्यों के आधार पर, यह कथन पूरी तरह से सत्य नहीं है क्योंकि DRDO में नियुक्ति की पुष्टि नहीं है।

अंतिम उत्तर: «असत्य»",False,True
"By filling a form on the webelink, anyone can get a free mask to fight the coronavirus.",false,hi,"इस कथन की सत्यता का निर्धारण करने के लिए हमें यह जांचना होगा कि क्या वास्तव में किसी वेब लिंक पर फॉर्म भरने से मुफ्त मास्क मिल सकता है और क्या यह प्रक्रिया सभी के लिए उपलब्ध है। 

यदि यह जानकारी किसी आधिकारिक और विश्वसनीय स्रोत से आई है और यह प्रक्रिया सभी के लिए उपलब्ध है, तो यह कथन सत्य हो सकता है। लेकिन अगर यह जानकारी किसी अविश्वसनीय स्रोत से आई है या यह प्रक्रिया केवल कुछ लोगों के लिए उपलब्ध है, तो यह कथन असत्य हो सकता है।

चूंकि इस कथन की सत्यता की पुष्टि के लिए पर्याप्त जानकारी उपलब्ध नहीं है, इसलिए इसे पूरी तरह सत्य या असत्य कहना मुश्किल है।

अंतिम उत्तर: आधा सत्य",False,True
Whale appeared in Bombay High after lockdown,false,hi,"इस कथन की सत्यता की पुष्टि करने के लिए हमें यह देखना होगा कि क्या वास्तव में लॉकडाउन के बाद बॉम्बे हाई (मुंबई हाई) क्षेत्र में व्हेल देखी गई थी। 

लॉकडाउन के दौरान और उसके बाद, कई स्थानों पर वन्यजीवों की गतिविधियों में वृद्धि देखी गई थी, क्योंकि मानव गतिविधियों में कमी आई थी। हालांकि, बॉम्बे हाई एक अपतटीय तेल क्षेत्र है और यह मुंबई के तट से काफी दूर है। 

कुछ रिपोर्ट्स में यह उल्लेख किया गया है कि लॉकडाउन के दौरान मुंबई के तट के पास समुद्री जीवन में वृद्धि देखी गई थी, लेकिन विशेष रूप से बॉम्बे हाई में व्हेल देखे जाने की कोई ठोस पुष्टि नहीं है।

अंतिम उत्तर: अधिकांशतः असत्य",False,True
Crina virus's last patient's last patient turned off after healing.,half true,pa,ਅੰਤਿਮ ਜਵਾਬ: ਝੂਠ,False,True
Stole the baby from Madhyamgram station,mostly false,bn,"আমি দুঃখিত, কিন্তু আমি এই নির্দিষ্ট বক্তব্যটির সত্যতা যাচাই করতে পারছি না কারণ আমার কাছে পর্যাপ্ত তথ্য নেই। 

চূড়ান্ত উত্তর: অজানা",False,True
"The man is placed in the lap, BJP spokesperson Sudhanshu Mittal.",false,hi,अंतिम उत्तर: असत्य,False,True
Photos of Assam Detention Center,mostly false,hi,"इस कथन का मूल्यांकन करने के लिए हमें यह देखना होगा कि क्या वास्तव में असम में डिटेंशन सेंटर की तस्वीरें उपलब्ध हैं और क्या वे सही हैं। असम में डिटेंशन सेंटर हैं और उनकी तस्वीरें भी सार्वजनिक रूप से उपलब्ध हैं। 

अंतिम उत्तर: सत्य",False,True
Shiv Sena spokesperson and Rajya Sabha MP Sanjay Raut's video of the wedding dance viral,false,mr,"मी सध्याच्या घडामोडींची माहिती तपासू शकत नाही, त्यामुळे मी या विधानाची सत्यता निश्चित करू शकत नाही. कृपया विश्वसनीय स्रोतांमधून तपासून घ्या.

अंतिम उत्तर: अर्धसत्य",False,True
Tripura Chief Minister Biplob Dev Bangladeshi,mostly false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
A video of a clash between the Indian army and China in the Galwan area of ​​Ladakh… One of the Indian troops and two soldiers were martyred in the clash.,half true,gu,અંતિમ જવાબ: મોટાભાગનું ખોટું,False,True
"The viral picture is visible for alcohol bottles, water bottles and coord drinks of water.We are being claimed that the BJPs were distributing these kit before the BJP's elections.",half true,pa,ਅੰਤਿਮ ਜਵਾਬ: ਅੱਧਾ ਸੱਚ,False,True
Corona vaccine in a medical university in Russia has been successful in all kinds of tests,half true,bn,চূড়ান্ত উত্তর: অর্ধসত্য,False,True
Pictures of the coffin of soldiers show that American soldiers were killed in Iran's attack recently.,mostly false,hi,"इस कथन की सत्यता की पुष्टि करने के लिए हमें हाल की घटनाओं और विश्वसनीय स्रोतों की जानकारी की आवश्यकता है। यदि हाल ही में ऐसी कोई घटना नहीं हुई है जिसमें अमेरिकी सैनिकों की मौत हुई हो और इसके प्रमाणिक स्रोतों से पुष्टि नहीं हुई हो, तो यह कथन असत्य होगा।

अंतिम उत्तर: असत्य",False,True
These huge crowds have been ralled by Rahul Gandhi in Jalore on Thursday.,half true,hi,"मुझे इस कथन की सत्यता की पुष्टि करने के लिए विश्वसनीय स्रोतों की आवश्यकता है। चूंकि मेरे पास वर्तमान में इस जानकारी की पुष्टि करने के लिए कोई स्रोत नहीं है, इसलिए मैं इस कथन की सत्यता का निर्धारण नहीं कर सकता।

अंतिम उत्तर: «असत्य»",False,True
"A terrible video of the flood which is being described as Assam.In the video, some people are seen flowing into the river due to falling a bridge.",mostly false,hi,अंतिम उत्तर: असत्य,False,True
Video of interrogation of suspects taken into custody after Pulwama terror attack,false,hi,"इस कथन की सत्यता की पुष्टि करने के लिए हमें विश्वसनीय स्रोतों से जानकारी की आवश्यकता होगी। Pulwama आतंकवादी हमले के बाद संदिग्धों की पूछताछ का वीडियो सार्वजनिक रूप से उपलब्ध है या नहीं, यह जांचना आवश्यक है। 

यदि कोई आधिकारिक स्रोत या विश्वसनीय समाचार एजेंसी इस वीडियो की पुष्टि करती है, तो यह कथन सत्य हो सकता है। अन्यथा, यह असत्य हो सकता है।

अंतिम उत्तर: असत्य",False,True
The picture of the human wall in front of the mosque was taken after the militant mosque in New Zealand.,false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
"A corona patient died in front of a medical store in Siwan, which is the constituency of Bihar Health Minister Mangal Pandey.",mostly false,hi,"इस कथन की सत्यता की पुष्टि करने के लिए हमें विश्वसनीय स्रोतों से जानकारी की आवश्यकता होगी। हालांकि, मेरे पास इस समय वास्तविक समय की जानकारी तक पहुंच नहीं है, इसलिए मैं इस कथन की सत्यता की पुष्टि नहीं कर सकता।

अंतिम उत्तर: आधा सत्य",False,True
The public gathered at a rally in Bihar to listen to Yogi Adityanath ji.Jai Shri Ram's slogans echoed with the ground.,half true,hi,"मुझे इस कथन की सत्यता की पुष्टि करने के लिए विश्वसनीय स्रोतों की आवश्यकता है। बिना किसी ठोस प्रमाण या स्रोत के, मैं इस कथन की सत्यता का निर्धारण नहीं कर सकता। 

अंतिम उत्तर: आधा सत्य",False,True
Pakistani flag raid on the roof of Kartarpur gurudwara,false,hi,अंतिम उत्तर: असत्य,False,True
The girl seen in the picture has a corona virus and she is asking to pray for herself.,false,hi,"इस कथन की सत्यता का निर्धारण करने के लिए हमें यह जानना होगा कि क्या वास्तव में उस तस्वीर में दिख रही लड़की को कोरोना वायरस है और क्या वह वास्तव में प्रार्थना करने के लिए कह रही है। बिना इन तथ्यों की पुष्टि किए, हम इस कथन की सत्यता का निर्धारण नहीं कर सकते।

अंतिम उत्तर: असत्य",False,True
Union Health Minister Dr. Harsh Vardhan was beaten.,mostly false,hi,"मुझे इस कथन की सत्यता की पुष्टि करने के लिए विश्वसनीय स्रोतों की आवश्यकता है। वर्तमान में, मेरे पास इस कथन की पुष्टि करने के लिए कोई विश्वसनीय जानकारी नहीं है। इसलिए, बिना किसी ठोस प्रमाण के, मैं इस कथन को असत्य मानूंगा।

अंतिम उत्तर: असत्य",False,True
Viral video is a video of the current assembly elections in Bihar,mostly false,bn,চূড়ান্ত উত্তর: অর্ধসত্য,False,True
Pune's doctor Megha Vyas got an infection and died while treating patients with Corona virus.,mostly false,hi,"इस कथन की सत्यता की पुष्टि करने के लिए मुझे विश्वसनीय स्रोतों से जानकारी की आवश्यकता होगी। हालांकि, मेरे पास वर्तमान में इस विशेष घटना के बारे में कोई जानकारी नहीं है। इसलिए, मैं इस कथन की सत्यता का निर्धारण नहीं कर सकता।

अंतिम उत्तर: असत्य",False,True
"Aaj Tak channel has run this news, the Prime Minister has announced that liquor will be banned in the whole country from tonight.",false,hi,"इस कथन की सत्यता की पुष्टि करने के लिए हमें यह जांचना होगा कि क्या वास्तव में 'Aaj Tak' चैनल ने यह खबर चलाई है और क्या प्रधानमंत्री ने ऐसा कोई ऐलान किया है। 

हालांकि, मेरे पास वास्तविक समय की जानकारी तक पहुंच नहीं है, लेकिन अगर हम सामान्य ज्ञान और हाल की खबरों के आधार पर देखें, तो ऐसा कोई बड़ा ऐलान आमतौर पर व्यापक मीडिया कवरेज प्राप्त करता है और अन्य प्रमुख समाचार चैनलों और स्रोतों द्वारा भी रिपोर्ट किया जाता है। 

इसलिए, जब तक इस खबर की पुष्टि नहीं हो जाती, इसे सत्य मानना मुश्किल है।

अंतिम उत्तर: असत्य",False,True
Rs.,mostly false,bn,চূড়ান্ত উত্তর: সত্য,False,True
Voting will be held in Maharashtra with ballot paper,false,hi,अंतिम उत्तर: असत्य,False,True
"The real name of Swapna Suresh, the main accused in the Kerala gold smuggling case, is Mumtaz Ismail.",false,hi,अंतिम उत्तर: असत्य,False,True
The policeman got the virus while doing duty in lockdown.,false,hi,"इस कथन की सत्यता का निर्धारण करने के लिए हमें यह जानना होगा कि क्या वास्तव में वह पुलिसकर्मी लॉकडाउन के दौरान ड्यूटी करते समय वायरस से संक्रमित हुआ था। चूंकि इस कथन में कोई विशिष्ट जानकारी या प्रमाण नहीं दिया गया है, इसलिए हम इसे सत्यापित नहीं कर सकते।

अंतिम उत्तर: आधा सत्य",False,True
Injured Indian soldiers left treatment at the hospital and reached to take revenge on the enemy,false,hi,"इस कथन की सत्यता का निर्धारण करने के लिए हमें ठोस प्रमाण और विश्वसनीय स्रोतों की आवश्यकता होगी। बिना किसी ठोस प्रमाण या विश्वसनीय स्रोत के, इस कथन की सत्यता की पुष्टि करना मुश्किल है। 

अंतिम उत्तर: आधा सत्य",False,True
"The accused in Boston, USA, was given a strange examination in the 5th",mostly false,bn,চূড়ান্ত উত্তর: অর্ধসত্য,False,True
The US has prepared the vaccine of the corona virus.,half true,hi,अंतिम उत्तर: अधिकांशतः सत्य,False,True
Journalist attacked the journalist on asking the government questions,false,hi,"इस कथन में यह कहा गया है कि एक पत्रकार ने दूसरे पत्रकार पर सरकार से सवाल पूछने के कारण हमला किया। इस कथन की सत्यता की पुष्टि करने के लिए हमें यह जानना होगा कि क्या वास्तव में ऐसा कोई घटना हुई है या नहीं। बिना किसी ठोस प्रमाण या जानकारी के, इस कथन की सत्यता को निर्धारित करना मुश्किल है।

अंतिम उत्तर: «असत्य»",False,True
"The more expenses the Statue of Unity has been made, in which China built a sea bridge.",half true,hi,"यह कथन «असत्य» है। 

स्टैच्यू ऑफ यूनिटी भारत में स्थित है और इसे भारत सरकार द्वारा बनवाया गया है। यह सरदार वल्लभभाई पटेल की प्रतिमा है और इसे गुजरात राज्य में नर्मदा नदी के किनारे बनाया गया है। दूसरी ओर, चीन ने हांगकांग-झुहाई-मकाओ ब्रिज का निर्माण किया है, जो एक समुद्री पुल है। इन दोनों परियोजनाओं का आपस में कोई संबंध नहीं है और न ही उनके खर्चों की तुलना की जा सकती है।

अंतिम उत्तर: असत्य",False,True
The girl told Rahul Gandhi that she wants to see Modi as Prime Minister.,false,hi,"इस कथन की सत्यता का निर्धारण करने के लिए हमें यह जानना होगा कि क्या वास्तव में किसी लड़की ने राहुल गांधी से यह कहा था कि वह नरेंद्र मोदी को प्रधानमंत्री के रूप में देखना चाहती है। इस प्रकार की जानकारी के लिए हमें विश्वसनीय स्रोतों की आवश्यकता होगी।

यदि हमारे पास इस बात का कोई प्रमाण नहीं है कि किसी लड़की ने राहुल गांधी से ऐसा कहा था, तो हम इस कथन को सत्य नहीं मान सकते।

अंतिम उत्तर: असत्य",False,True
"In this picture, UP CM Yogi Adityanath is watching the cremation of the victim of Hathras.",mostly false,hi,"यह कथन «असत्य» है। 

अंतिम उत्तर: असत्य",False,True
"Seeing such a situation in the country, CM Yogi Adityanath had tears in his eyes.",half true,hi,"इस कथन की सत्यता का निर्धारण करने के लिए हमें यह जानना होगा कि क्या वास्तव में CM Yogi Adityanath ने किसी स्थिति को देखकर अपनी भावनाओं को इस प्रकार व्यक्त किया था। यह जानकारी किसी विश्वसनीय स्रोत या समाचार रिपोर्ट पर आधारित होनी चाहिए।

यदि यह कथन किसी विश्वसनीय स्रोत या समाचार रिपोर्ट में प्रमाणित है, तो यह «सत्य» हो सकता है। यदि यह कथन आंशिक रूप से सही है या संदर्भ में कुछ भिन्नता है, तो यह «अधिकांशतः सत्य» या «आधा सत्य» हो सकता है। यदि यह कथन गलत है या किसी गलतफहमी पर आधारित है, तो यह «अधिकांशतः असत्य» या «असत्य» हो सकता है।

अंतिम उत्तर: «सत्य», «अधिकांशतः सत्य», «आधा सत्य», «अधिकांशतः असत्य» या «असत्य» का निर्धारण करने के लिए हमें विश्वसनीय स्रोतों की आवश्यकता है। 

अंतिम उत्तर: «असत्य» (क्योंकि मेरे पास इस कथन की सत्यता की पुष्टि करने के लिए कोई विश्वसनीय स्रोत नहीं है)।",False,True
The Kerala government announced a blackout in the state on August 5 to prevent people from watching the Ram Mandir Bhoomi Pujan ceremony.,mostly false,hi,अंतिम उत्तर: असत्य,False,True
"For 62 years, a man pretended to remain dumb to listen to his wife.",false,hi,"यह कथन एक अफवाह या मिथक पर आधारित प्रतीत होता है, और इसके समर्थन में कोई ठोस प्रमाण नहीं है। इसलिए, इसे सत्य मानना उचित नहीं होगा।

अंतिम उत्तर: असत्य",False,True
Picture of a person committing suicide by jumping from Burj Khalifa of Dubai,mostly false,hi,अंतिम उत्तर: असत्य,False,True
Iceland has declared all religions as weapons of massacre.,false,hi,"यह कथन «असत्य» है। आइसलैंड ने कभी भी सभी धर्मों को ""हथियारों के रूप में नरसंहार"" घोषित नहीं किया है। यह एक गलत जानकारी है और इसका कोई प्रमाण नहीं है।

अंतिम उत्तर: असत्य",False,True
In the video some people can be seen beating badly with one person.The claim is being claimed that the Haryana is the MLA of BJP.,half true,pa,"ਇਸ ਬਿਆਨ ਦੀ ਸਹੀ ਜਾਂ ਝੂਠ ਹੋਣ ਦੀ ਪੁਸ਼ਟੀ ਕਰਨ ਲਈ ਸਾਨੂੰ ਸਪਸ਼ਟ ਤੱਥਾਂ ਦੀ ਲੋੜ ਹੈ। ਬਿਆਨ ਵਿੱਚ ਦੱਸਿਆ ਗਿਆ ਹੈ ਕਿ ਵੀਡੀਓ ਵਿੱਚ ਕੁਝ ਲੋਕ ਇੱਕ ਵਿਅਕਤੀ ਨੂੰ ਮਾਰ ਰਹੇ ਹਨ ਅਤੇ ਦਾਅਵਾ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ ਕਿ ਉਹ ਵਿਅਕਤੀ ਹਰਿਆਣਾ ਦਾ BJP ਦਾ MLA ਹੈ। ਇਸ ਦਾਅਵੇ ਦੀ ਪੁਸ਼ਟੀ ਕਰਨ ਲਈ ਸਾਨੂੰ ਮੂਲ ਸਰੋਤਾਂ ਜਾਂ ਭਰੋਸੇਯੋਗ ਖ਼ਬਰਾਂ ਦੀ ਜਾਂਚ ਕਰਨ ਦੀ ਲੋੜ ਹੈ।

ਅੰਤਿਮ ਜਵਾਬ: «ਝੂਠ» (ਕਿਉਂਕਿ ਸਪਸ਼ਟ ਤੱਥਾਂ ਦੀ ਗੈਰਹਾਜ਼ਰੀ ਵਿੱਚ ਇਸ ਬਿਆਨ ਨੂੰ ਸਹੀ ਨਹੀਂ ਮੰਨਿਆ ਜਾ ਸਕਦਾ)",False,True
This is a recent farmer's protest video against the Agricultural Bill,half true,bn,চূড়ান্ত উত্তর: অর্ধসত্য,False,True
"A Muslim youth married a Hindu woman lying, later it was found that the young man is already married and has two children.",mostly false,hi,"इस कथन की सत्यता का निर्धारण करने के लिए हमें इस घटना के सभी तथ्यों और प्रमाणों की जांच करनी होगी। बिना किसी ठोस प्रमाण या विस्तृत जानकारी के, इस कथन की सत्यता का निर्धारण करना मुश्किल है। इसलिए, इस कथन की सत्यता का निर्धारण नहीं किया जा सकता।

अंतिम उत्तर: आधा सत्य",False,True
This is how Uighur Muslim sisters are tortured in China,mostly false,bn,চূড়ান্ত উত্তর: অধিকাংশ সত্য,False,True
Photo after questioning suspects detained in Pulwama terror attack case,false,hi,"इस कथन की सत्यता का निर्धारण करने के लिए हमें यह जानना होगा कि क्या वास्तव में कोई फोटो है जो संदिग्धों की पूछताछ के बाद ली गई है और क्या यह फोटो वास्तव में पुलवामा आतंकवादी हमले के संदिग्धों से संबंधित है। 

यदि हमारे पास इस बात की पुष्टि करने वाले प्रमाण नहीं हैं, तो हम इस कथन को सत्य नहीं मान सकते। 

अंतिम उत्तर: असत्य",False,True
"Photo showing a man's intimacy after Friday's earthquake in Turkey """,half true,mr,अंतिम उत्तर: असत्य,False,True
Former actress Zaira Wasim returned to films,mostly false,hi,अंतिम उत्तर: असत्य,False,True
Hindu daughters-in-law are being tampered with in the Muslim dominated region.,half true,hi,अंतिम उत्तर: असत्य,False,True
Tejashwi Yadav (Bihar election) distributing notes in election campaign,half true,hi,"इस कथन की सत्यता की पुष्टि करने के लिए हमें विश्वसनीय स्रोतों से जानकारी प्राप्त करनी होगी। यदि कोई विश्वसनीय समाचार स्रोत या आधिकारिक रिपोर्ट इस बात की पुष्टि करती है कि तेजस्वी यादव ने बिहार चुनाव के दौरान नोट वितरित किए थे, तो यह कथन सत्य हो सकता है। अन्यथा, यह कथन असत्य हो सकता है।

वर्तमान में, मेरे पास इस कथन की पुष्टि या खंडन करने के लिए कोई विश्वसनीय स्रोत नहीं है। इसलिए, बिना किसी ठोस प्रमाण के, इस कथन को सत्यापित करना मुश्किल है।

अंतिम उत्तर: असत्य",False,True
Amul is closing the chilling centers indefinitely due to the Corona virus.,false,hi,अंतिम उत्तर: असत्य,False,True
"ABP news channel anchor Rubika Liaquat has said that Ramadan Iftar and Namaz are always organized in the temple, but Muslims have not organized Navratri Puja in a single mosque till date.I feel ashamed, have this secularism contract only taken by Hindu brothers.",false,hi,अंतिम उत्तर: असत्य,False,True
"A post on social media claiming Baba Ramdev has been viral, claiming that Baba Ramdev's 2212 crore has been forgiven.This post states ""In 2014, if Modi will come, he will get petrol in 35 #Babaramdev killed 2212 crore.",half true,gu,અંતિમ જવાબ: ખોટું,False,True
The picture of Sambit Patra dancing with gangster Vikas Dubey.,false,hi,अंतिम उत्तर: असत्य,False,True
This picture is from New Zealand of people sitting in Pangat to eat food on banana leaves.,false,hi,"यह कथन «असत्य» है। 

पंगत में बैठकर केले के पत्तों पर भोजन करने की परंपरा भारतीय संस्कृति से जुड़ी हुई है, विशेष रूप से दक्षिण भारत में। यह परंपरा न्यूज़ीलैंड की नहीं है। 

अंतिम उत्तर: असत्य",False,True
"According to Aaj Tak's exit poll, this time Raghuvar government will be formed in Jharkhand again",mostly false,hi,"इस कथन का सत्यापन करने के लिए हमें यह देखना होगा कि Aaj Tak के exit poll ने वास्तव में क्या भविष्यवाणी की थी और क्या वह भविष्यवाणी सही साबित हुई थी या नहीं। 

यदि Aaj Tak के exit poll ने वास्तव में यह भविष्यवाणी की थी कि Raghuvar सरकार फिर से बनेगी और यह भविष्यवाणी सही साबित हुई, तो यह कथन «सत्य» होगा। यदि भविष्यवाणी गलत साबित हुई, तो यह कथन «असत्य» होगा। 

हालांकि, मेरे पास वर्तमान में इस विशेष exit poll की जानकारी नहीं है। इसलिए, मैं इस कथन की सत्यता की पुष्टि नहीं कर सकता।

अंतिम उत्तर: «असत्य»",False,True
"In Madhya Pradesh, the students of madrasa raised slogans of Pakistan Zindabad.",false,hi,"इस कथन की सत्यता की पुष्टि करने के लिए हमें विश्वसनीय स्रोतों से जानकारी प्राप्त करनी होगी। यदि इस घटना की पुष्टि किसी विश्वसनीय समाचार स्रोत या आधिकारिक रिपोर्ट से होती है, तो यह कथन सत्य हो सकता है। लेकिन यदि ऐसी कोई पुष्टि नहीं होती है, तो यह कथन असत्य हो सकता है।

फिलहाल, मेरे पास इस कथन की सत्यता की पुष्टि करने के लिए कोई विश्वसनीय स्रोत नहीं है। इसलिए, बिना किसी ठोस प्रमाण के, मैं इस कथन को असत्य मानूंगा।

अंतिम उत्तर: असत्य",False,True
"Javed Akhtar said that if Narendra Modi becomes PM again, he and his wife Shabana Azmi will leave the country.",false,hi,अंतिम उत्तर: असत्य,False,True
Picture of Indira Gandhi's funeral,mostly false,hi,अंतिम उत्तर: सत्य,False,True
He was assassinated after raping women's constable in the Congress rule.,half true,pa,"ਇਸ ਬਿਆਨ ਦੀ ਸਹੀ ਜਾਂ ਝੂਠ ਹੋਣ ਦੀ ਪੁਸ਼ਟੀ ਕਰਨ ਲਈ ਸਪਸ਼ਟ ਅਤੇ ਪ੍ਰਮਾਣਿਤ ਜਾਣਕਾਰੀ ਦੀ ਲੋੜ ਹੈ। ਇਸ ਬਿਆਨ ਵਿੱਚ ਦੋ ਵੱਖ-ਵੱਖ ਦਾਅਵੇ ਕੀਤੇ ਗਏ ਹਨ: ਇੱਕ ਵਿਅਕਤੀ ਦੀ ਹੱਤਿਆ ਅਤੇ ਉਸ ਦੇ ਵੱਲੋਂ ਇੱਕ ਮਹਿਲਾ ਕਾਂਸਟੇਬਲ ਨਾਲ ਬਲਾਤਕਾਰ। ਇਸ ਬਿਆਨ ਨੂੰ ਸਹੀ ਢੰਗ ਨਾਲ ਜਾਂਚਣ ਲਈ ਸਪਸ਼ਟ ਤੱਥਾਂ ਦੀ ਲੋੜ ਹੈ ਜੋ ਇਸ ਸਮੇਂ ਉਪਲਬਧ ਨਹੀਂ ਹਨ।

ਅੰਤਿਮ ਜਵਾਬ: «ਝੂਠ»",False,True
The young man who went to see Garba in Gujarat was beaten to death by a mob.,half true,hi,"इस कथन की सत्यता की पुष्टि करने के लिए मुझे विश्वसनीय स्रोतों से जानकारी की आवश्यकता होगी। हालांकि, मेरे पास वर्तमान में इंटरनेट तक पहुंच नहीं है, इसलिए मैं इस कथन की सत्यता की पुष्टि नहीं कर सकता।

अंतिम उत्तर: सत्यापन के लिए विश्वसनीय स्रोतों की आवश्यकता है।",False,True
Indian soldiers raped the Naga woman in Kohima.,false,hi,"इस कथन का सत्यापन करने के लिए हमें विश्वसनीय स्रोतों और तथ्यों की आवश्यकता है। बिना किसी ठोस प्रमाण या विश्वसनीय जानकारी के, इस कथन की सत्यता का निर्धारण करना मुश्किल है। 

अंतिम उत्तर: असत्य",False,True
"Barkode can distinguish in sugar and Indian products.Barcode which start from 690 to 699, are made in China.",mostly false,hi,"यह कथन कि ""Barcode which start from 690 to 699, are made in China"" सत्य है। बारकोड के पहले तीन अंक देश कोड को दर्शाते हैं, और 690 से 699 के बीच के बारकोड चीन के लिए आरक्षित हैं। हालांकि, यह ध्यान रखना महत्वपूर्ण है कि बारकोड केवल उत्पाद के पंजीकरण के देश को दर्शाता है, न कि अनिवार्य रूप से उत्पाद के निर्माण के देश को।

अंतिम उत्तर: सत्य",False,True
"Like Palghar, a saint attacked a saint in a strong man",half true,hi,"यह कथन स्पष्ट नहीं है और इसमें कोई ठोस जानकारी या संदर्भ नहीं दिया गया है जिससे सत्यता का निर्धारण किया जा सके। इसलिए, इस कथन को सत्यता के किसी भी स्तर पर वर्गीकृत करना मुश्किल है।

अंतिम उत्तर: असत्य",False,True
Aditya Thackeray has reached Ajmer Sharif Dargah to become CM.,half true,hi,अंतिम उत्तर: असत्य,False,True
